ID,text,ckpt,quant,compile,offload,vae,fast,lowres,temporal,Overall Peak VRAM alloc (MB),Overall Peak VRAM reserved (MB),Diffusion Peak VRAM alloc (MB),Diffusion Peak VRAM reserved (MB),Text Peak VRAM alloc (MB),Total Seconds,tSSIM,tLPIPS,CLIP sim,motion_verdict,decision,visual_notes
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,0,none,1,1,1,1,13602.6,13992.0,13602.6,13992.0,,1.6204,0.98623,0.01576,0.304799,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,0,group,0,0,0,0,15.8,60.0,15.8,60.0,,22.9896,0.825673,0.023638,0.304573,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,0,group,0,0,0,1,15.8,60.0,15.8,60.0,,18.5288,0.977508,0.002943,0.302637,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,0,group,0,0,1,0,15.8,58.0,15.8,58.0,,12.198,0.90849,0.032307,0.309643,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,0,group,0,0,1,1,15.8,60.0,15.8,60.0,,11.5654,0.987314,0.014808,0.305877,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,0,group,0,1,0,0,15.8,60.0,15.8,60.0,,12.8938,0.845387,0.018642,0.304918,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,0,group,0,1,0,1,15.8,60.0,15.8,60.0,,9.8009,0.974026,0.003376,0.303952,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,0,group,0,1,1,0,15.8,58.0,15.8,58.0,,16.3462,0.902452,0.038472,0.307318,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,0,group,0,1,1,1,15.8,60.0,15.8,60.0,,9.3742,0.98623,0.01576,0.304799,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,0,group,1,0,0,0,15.8,60.0,15.8,60.0,,14.3139,0.825673,0.023638,0.304573,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,0,group,1,0,0,1,15.8,60.0,15.8,60.0,,13.6016,0.977508,0.002943,0.302637,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,0,group,1,0,1,0,15.8,58.0,15.8,58.0,,11.9832,0.90849,0.032307,0.309643,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,0,group,1,0,1,1,15.8,60.0,15.8,60.0,,11.7781,0.987314,0.014808,0.305877,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,0,group,1,1,0,0,15.8,60.0,15.8,60.0,,11.2497,0.845387,0.018642,0.304918,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,0,group,1,1,0,1,15.8,60.0,15.8,60.0,,9.9021,0.974026,0.003376,0.303952,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,0,group,1,1,1,0,15.8,58.0,15.8,58.0,,9.465,0.902452,0.038472,0.307318,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-0__offload-group__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,0,group,1,1,1,1,15.8,60.0,15.8,60.0,,10.3194,0.98623,0.01576,0.304799,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,1,none,0,0,0,0,13602.1,14014.0,13602.1,14014.0,,15.9319,0.825691,0.023861,0.302575,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,1,none,0,0,0,1,13602.1,14010.0,13602.1,14010.0,,11.909,0.977481,0.002938,0.302232,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,1,none,0,0,1,0,13602.1,14012.0,13602.1,14012.0,,13.2066,0.907916,0.032278,0.309835,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,1,none,0,0,1,1,13602.6,13992.0,13602.6,13992.0,,10.8958,0.985041,0.015537,0.305578,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,1,none,0,1,0,0,13602.1,14014.0,13602.1,14014.0,,14.9977,0.845039,0.018543,0.3061,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,1,none,0,1,0,1,13602.1,14010.0,13602.1,14010.0,,11.6907,0.97377,0.003415,0.303422,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,1,none,0,1,1,0,13602.1,14012.0,13602.1,14012.0,,11.7134,0.902956,0.038442,0.307072,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,1,none,0,1,1,1,13602.6,13992.0,13602.6,13992.0,,10.3081,0.986175,0.015749,0.30432,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,1,none,1,0,0,0,13602.1,14014.0,13602.1,14014.0,,15.7856,0.825691,0.023861,0.302575,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,1,none,1,0,0,1,13602.1,14010.0,13602.1,14010.0,,11.7054,0.97743,0.002941,0.30251,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,1,none,1,0,1,0,13602.1,14012.0,13602.1,14012.0,,12.4913,0.907758,0.032332,0.309918,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,1,none,1,0,1,1,13602.6,13992.0,13602.6,13992.0,,11.077,0.984519,0.015753,0.305224,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,1,none,1,1,0,0,13602.1,14014.0,13602.1,14014.0,,17.2413,0.845286,0.018618,0.305114,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,1,none,1,1,0,1,13602.1,14010.0,13602.1,14010.0,,10.2842,0.97377,0.003415,0.303422,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,1,none,1,1,1,0,13602.1,14012.0,13602.1,14012.0,,11.3929,0.902815,0.038532,0.306573,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-none__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,1,none,1,1,1,1,13602.6,13992.0,13602.6,13992.0,,10.5512,0.986175,0.015749,0.30432,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,1,group,0,0,0,0,16.6,528.0,16.6,528.0,,28.9321,0.825801,0.02375,0.302826,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,1,group,0,0,0,1,15.8,820.0,15.8,820.0,,21.9815,0.977497,0.002951,0.302346,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,1,group,0,0,1,0,15.8,878.0,15.8,878.0,,22.3449,0.90834,0.032383,0.3101,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,1,group,0,0,1,1,15.8,488.0,15.8,488.0,,21.1078,0.987046,0.014912,0.305311,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,1,group,0,1,0,0,16.6,528.0,16.6,528.0,,25.1459,0.845361,0.018718,0.305179,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,1,group,0,1,0,1,15.8,820.0,15.8,820.0,,20.4779,0.973982,0.00338,0.303569,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,1,group,0,1,1,0,15.8,878.0,15.8,878.0,,19.6069,0.902177,0.038521,0.307781,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,1,group,0,1,1,1,15.8,488.0,15.8,488.0,,18.9116,0.986244,0.015755,0.304709,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,1,group,1,0,0,0,16.6,528.0,16.6,528.0,,23.0736,0.825801,0.02375,0.302826,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,1,group,1,0,0,1,15.8,820.0,15.8,820.0,,21.172,0.977497,0.002951,0.302346,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
text-original__ckpt-base__q-none__compile-1__offload-group__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,1,group,1,0,1,0,15.8,878.0,15.8,878.0,,23.6172,0.90834,0.032383,0.3101,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; compile визуально не меняет, но в этом запуске сильно замедлил; VAE tiling визуально и по памяти на 512 почти не изменил результат; group offload резко снижает измеренную VRAM, но переносит нагрузку в CPU/RAM"
